question,option_a,option_b,option_c,option_d,correct_option,explanation,category
What is the capital of France?,London,Paris,Berlin,Madrid,B,Paris is the capital city of France.,Geography
What is the capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,C,Tokyo is the capital of Japan.,Geography
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,B,The Nile is generally considered the longest river in the world.,Geography
Which country has the largest land area?,USA,China,Russia,Canada,C,Russia is the largest country by land area.,Geography
What ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D,The Pacific Ocean is the largest ocean on Earth.,Geography
Mount Everest is located in which mountain range?,Andes,Rockies,Himalayas,Alps,C,Mount Everest is in the Himalayas.,Geography
What is the smallest continent by area?,Europe,Australia,Antarctica,South America,B,Australia is the smallest continent.,Geography
The Sahara Desert is primarily in which continent?,Asia,Africa,Australia,South America,B,The Sahara Desert is in Africa.,Geography
What country has the most natural lakes?,USA,Canada,Russia,Brazil,B,Canada has the most natural lakes in the world.,Geography
Which is the deepest ocean point?,Mariana Trench,Tonga Trench,Philippine Trench,Java Trench,A,The Mariana Trench is the deepest known ocean point.,Geography
What is the chemical symbol for water?,Wa,H2O,Hy,O2,B,H2O is the chemical formula for water.,Science
What planet is closest to the sun?,Venus,Earth,Mercury,Mars,C,Mercury is the closest planet to the sun.,Science
What gas do plants primarily absorb from the atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide for photosynthesis.,Science
What force keeps objects on the ground?,Magnetism,Nuclear force,Gravity,Friction,C,Gravity is the force that attracts objects to Earth.,Science
What is the speed of light in vacuum approximately?,300000 km/s,150000 km/s,3000 km/s,30000 km/s,A,Light travels at about 300000 km/s in vacuum.,Science
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi body,C,Mitochondria are known as the powerhouse of the cell.,Science
What element has the atomic number 1?,Helium,Lithium,Hydrogen,Oxygen,C,Hydrogen has the atomic number 1.,Science
What is the boiling point of water at sea level in Celsius?,90,100,110,120,B,Water boils at 100 degrees Celsius at sea level.,Science
What type of animal is a frog?,Mammal,Reptile,Amphibian,Fish,C,Frogs are amphibians.,Science
What planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Mars is called the Red Planet due to its reddish appearance.,Science
Who wrote 'Romeo and Juliet'?,Charles Dickens,Mark Twain,William Shakespeare,Jane Austen,C,William Shakespeare wrote Romeo and Juliet.,History
In which year did World War II end?,1943,1944,1945,1946,C,World War II ended in 1945.,History
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Hippopotamus,B,The blue whale is the largest mammal on Earth.,Biology
What is the primary language spoken in Brazil?,Spanish,English,Portuguese,French,C,Portuguese is the official language of Brazil.,Geography
